"","ind","species","site","leaf","herb","herb_bin"
"412",138,1,4,1,0,0
"413",138,1,4,2,0,0
"414",138,1,4,3,0,0
"415",139,1,4,1,0,0
"416",139,1,4,2,0,0
"417",139,1,4,3,0,0
"418",140,1,4,1,0,0
"419",140,1,4,2,0,0
"420",140,1,4,3,0,0
"421",141,1,5,1,0,0
"422",141,1,5,2,0,0
"423",141,1,5,3,0,0
"424",142,1,5,1,0,0
"425",142,1,5,2,0,0
"426",142,1,5,3,0,0
"427",143,1,5,1,0,0
"428",143,1,5,2,0,0
"429",143,1,5,3,0,0
"430",144,1,5,1,0,0
"431",144,1,5,2,0,0
"432",144,1,5,3,0,0
"433",145,1,5,1,0,0
"434",145,1,5,2,0,0
"435",145,1,5,3,0,0
"436",146,1,5,1,0,0
"437",146,1,5,2,0,0
"438",146,1,5,3,0,0
"439",147,1,5,1,0,0
"440",147,1,5,2,0,0
"441",147,1,5,3,0,0
"442",148,1,5,1,0,0
"443",148,1,5,2,0,0
"444",148,1,5,3,0,0
"445",149,1,5,1,0,0
"446",149,1,5,2,0,0
"447",149,1,5,3,0,0
"448",150,1,5,1,0,0
"449",150,1,5,2,0,0
"450",150,1,5,3,0,0
"451",151,1,5,1,0,0
"452",151,1,5,2,0,0
"453",151,1,5,3,0,0
"454",152,1,5,1,0,1
"455",152,1,5,2,1,1
"456",152,1,5,3,2,1
"457",153,1,5,1,0,0
"458",153,1,5,2,0,0
"459",153,1,5,3,0,0
"460",154,1,5,1,3,1
"461",154,1,5,2,1,1
"462",154,1,5,3,1,1
"463",155,1,5,1,0,0
"464",155,1,5,2,0,0
"465",155,1,5,3,0,0
"466",156,1,5,1,0,0
"467",156,1,5,2,0,0
"468",156,1,5,3,0,0
"469",157,1,5,1,0,0
"470",157,1,5,2,0,0
"471",157,1,5,3,0,0
"472",158,1,5,1,0,0
"473",158,1,5,2,0,0
"474",158,1,5,3,0,0
"475",159,1,5,1,0,1
"476",159,1,5,2,0,1
"477",159,1,5,3,1,1
"478",160,1,5,1,0,1
"479",160,1,5,2,0,1
"480",160,1,5,3,1,1
